"","Trained_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"51201",5.02333333333333,5.03333333333333,-0.00389995537190452,0.00297250829539508,-0.00286913261461723,"FALSE"
"29945",4.20333333333333,4.56,-0.151400316165737,0.0270346822397015,-0.117499954557678,"FALSE"
"55656",4.28833333333333,4.88333333333333,-0.298930392818593,0.119425764426106,-0.18744920757581,"FALSE"
"79074",4.15166666666667,4.825,-0.31567404507365,0.124751473097016,-0.216838326635762,"FALSE"
"3912",9.42833333333333,4.21333333333333,1.38647089433823,0.783030516475366,1.16204070746667,"FALSE"
"4928",5.52333333333333,5.74666666666667,-0.0968623981953669,0.00456538934731177,-0.0571861718676462,"FALSE"
"389791",4.55166666666667,4.75333333333333,-0.0966841418723726,0.00452855957761489,-0.0625446676786016,"FALSE"
"130026",4.685,4.29,0.182033641152866,0.123109643967719,0.127071400159641,"FALSE"
"3384",8.54166666666667,4.985,1.06852520176677,0.622179807257961,0.776924094160819,"FALSE"
"55253",3.07833333333333,3.82666666666667,-0.404803529648967,0.177812222746047,-0.31393877569325,"FALSE"
"25917",5.49333333333333,4.60333333333333,0.393891739216257,0.2972043496417,0.255002922925167,"FALSE"
"4007",5.405,5.56333333333333,-0.0589940565997425,0.000534232629474607,-0.0416549309067924,"FALSE"
"3658",5.06833333333333,5.17,-0.0424452764627936,5.36709127318957e-05,-0.028652870005293,"FALSE"
"91694",5.345,6.345,-0.325111070651337,0.127545146708666,-0.247430216120615,"FALSE"
"10617",6.48,6.615,-0.0497885633171604,0.000212362055665438,-0.0297473433940519,"FALSE"
"113444",4.75333333333333,4.22666666666667,0.252750043980526,0.200924256093826,0.169419236304481,"FALSE"
"64328",6.66333333333333,8.00666666666667,-0.428985576112072,0.199934996452121,-0.264957678961006,"FALSE"
"10807",5.88833333333333,5.37,0.212173334177422,0.160466483933216,0.132937255184084,"FALSE"
"4037",6.69166666666667,6.06166666666667,0.236737217954726,0.18730461510792,0.14265106194906,"FALSE"
"284581",4.285,4.05833333333333,0.0544750816302222,0.0346700520967962,0.0784078378639516,"FALSE"
"653203",5.49333333333333,5.09166666666667,0.14258029577123,0.0883195337683829,0.109543862477126,"FALSE"
"2622",4.635,5.12833333333333,-0.176972401685702,0.0417292550368636,-0.145920698986858,"FALSE"
"10608",6.795,6.67166666666667,0.0397917638244462,0.0240181763497611,0.0264263411010089,"FALSE"
